写真の表示秒数を調整する時に短くしたいのに急に60分やら90分になってしまう,54
gifが作れたら良いと思います,27
後音源とかも保存したい音源無しじゃ作れねぇ,26
アプリを起動して操作し始めた途端強制停止させられます,10
レイヤーを増やすとスムーズに動画が流れない,110
音ズレが目立つ,49
頻繁に使う記号なので不便しています,36
ちんちんですか可する前にポテチサラダする前にポテチサラダする前にしたている,50
編集したい動画が編集できない,5
編集中に途中で止まって,80
がくがくして編集が出来ない,117
capcutの悪いところバグる,100
そこを改善してくれれば,25
ちゃんとエスクポートしたのに保存されません,71
解消お願い致します,97
最後に必ず、capcutと出てきてしまう,34
改善,62
スタンプなどにお気に入り機能をつけて欲しい,15
重くて入れられない,18
バグった,3
劣化がない,86
アプリを開くと急に固まり対応しないとでます,10
音ズレを改善してください,25
早急に対応もしくは対処法がありましたら教えて下さい,65
改善しません,109
修正していただけると助かります,24
エクスポートしたものを再生すると動画と音がズレる,51
音源の長さと動画全体の長さが一致しない例えば音源が20秒なのに対して動画全体の長さが28秒になっている,73
[UNK]の記号だけ色等が変わらない,59
重たくなり作ってる最中に試しに再生しても確認できません,89
バグを修正して欲しい,32
バグが起こってリセットされたり、消えてしまったり、固まったりして使いにくい,76
デバイスの音楽が使えない,14
修正をお願いいたします,6
大きさが出ない,12
早く改善して下さい,62
編集したはずの動画が、編集する前のものに戻っていたり,0
重たくて音にしっかりあっているのか分からなくなる,116
重くなる,18
