t_58635,スマートニュース,2023-12-18 07:43:23+00:00,たまに流れてくるゴミ記事が邪魔,ゴミ記事が邪魔,1
t_58785,スマートニュース,2023-12-22 03:08:01+00:00,ところで、スマートニュース、記事のクリップ機能が無くなってる,スマートニュース、記事のクリップ機能が無くなってる,3
t_59277,スマートニュース,2023-11-20 07:30:24+00:00,スマートニュースの記事のタイトルがvoiceoverで読み上げしてくれない,スマートニュースの記事のタイトルがvoiceoverで読み上げしてくれない,4
t_59382,スマートニュース,2023-12-19 06:52:00+00:00,発展の功労者が次々と役職を降りたことで、smartnewsのアメリカ市場での事業拡大は完全に行き詰った,発展の功労者が次々と役職を降りたことで、smartnewsのアメリカ市場での事業拡大は完全に行き詰った,5
t_60192,スマートニュース,2023-11-22 15:32:27+00:00,スマートニュースで楽天ポイントがもらえなくなってしまう,楽天ポイントがもらえなくなってしまう,6
t_60388,スマートニュース,2023-10-11 23:02:40+00:00,故にバグ発生と改善のタイミングにズレ,バグ発生と改善のタイミングにズレ,8
t_60577,スマートニュース,2023-10-11 23:02:40+00:00,時間差質問問題は、まずアプデのタイミングがバラバラ,時間差質問問題は、まずアプデのタイミングがバラバラ,9
t_60604,スマートニュース,2023-10-22 23:33:30+00:00,twitterもスマートニュースも広告の見分けがつきにくい,twitterもスマートニュースも広告の見分けがつきにくい,10
t_61036,スマートニュース,2023-10-12 21:44:51+00:00,スクショ機能の不具合でスマホを別スマホで撮影してるのでみにくくてごめん,スクショ機能の不具合でスマホを別スマホで撮影してるのでみにくくて,11
t_61163,スマートニュース,2023-12-22 01:00:12+00:00,スマートニュースとかgoogleの記事、一瞬現れて更新されるのやめてほしい,スマートニュースとかgoogleの記事、一瞬現れて更新されるのやめてほしい,12
t_64971,スマートニュース,2023-11-22 13:39:39+00:00,スマートニュース見てるとたまに数年前の記事が出てくるのやめてほしい,スマートニュース見てるとたまに数年前の記事が出てくるのやめてほしい,12
t_61344,スマートニュース,2023-12-21 08:26:35+00:00,一時タイムラインもメディアとか他の所も見えなくなって,一時タイムラインもメディアとか他の所も見えなくなって,13
t_58664,スマートニュース,2023-10-13 10:24:08+00:00,voiceoverでニュースの見出しを読み上げできなくなっていた,voiceoverでニュースの見出しを読み上げできなくなっていた,14
t_61456,スマートニュース,2023-10-14 00:35:46+00:00,voiceoverでニュースの見出しを読み上げできなくなっていた,voiceoverでニュースの見出しを読み上げできなくなっていた,14
t_61480,スマートニュース,2023-12-20 09:13:50+00:00,スマートニュースのクーポンも塞がれて悲しい,スマートニュースのクーポンも塞がれて悲しい,15
t_61621,スマートニュース,2023-12-20 15:00:32+00:00,スマニュー+から気になってスマートフォーマットについて調べてみたら、スマートニュースの新規配信受付が止まっていた,スマートニュースの新規配信受付が止まっていた,16
t_61644,スマートニュース,2023-12-18 19:06:53+00:00,グノシーとかスマートニュースとか前狂ったように広告でてたのに最近じゃめっきり見なくなったね,グノシーとかスマートニュースとか前狂ったように広告でてたのに最近じゃめっきり見なくなった,17
t_61651,スマートニュース,2023-11-18 03:13:59+00:00,尚、起きて、スマートニュースは開かなかった,尚、起きて、スマートニュースは開かなかった,18
t_61664,スマートニュース,2023-11-20 07:23:57+00:00,スマートニュースのアプリもウィジェットも、一覧の更新は自動でなく手動になるよーにして欲しい,スマートニュースのアプリもウィジェットも、一覧の更新は自動でなく手動になるよーにして欲しい,19
t_61894,スマートニュース,2023-12-20 03:31:05+00:00,記事が謎すぎた,記事が謎すぎた,20
t_61895,スマートニュース,2023-10-13 22:01:44+00:00,"rt:旦那氏,アプリのスマートニュースを良く読むんだけど,最近ボイスオーバーで読み上げなくなったと嘆いてた",ボイスオーバーで読み上げなくなった,21
t_62848,スマートニュース,2023-10-13 22:56:10+00:00,"rt:旦那氏,アプリのスマートニュースを良く読むんだけど,最近ボイスオーバーで読み上げなくなったと嘆いてた",ボイスオーバーで読み上げなくなった,21
t_61947,スマートニュース,2023-12-21 03:41:56+00:00,あまりにも警察関係のニュース見すぎてスマートニュースの表示が警察関係のばっかりになった,スマートニュースの表示が警察関係のばっかりになった,22
t_62332,スマートニュース,2023-10-13 02:08:56+00:00,"旦那氏,アプリのスマートニュースを良く読むんだけど,最近ボイスオーバーで読み上げなくなったと嘆いてた","旦那氏,アプリのスマートニュースを良く読むんだけど,最近ボイスオーバーで読み上げなくなった",23
t_60386,スマートニュース,2023-10-12 22:47:16+00:00,スマートニュースのアプリを最新にしたらニュースのリストを全くもって読まなくなってしまった,スマートニュースのアプリを最新にしたらニュースのリストを全くもって読まなくなってしまった,24
t_62466,スマートニュース,2023-10-12 12:35:46+00:00,スマートニュースのアプリを最新にしたらニュースのリストを全くもって読まなくなってしまった,スマートニュースのアプリを最新にしたらニュースのリストを全くもって読まなくなってしまった,24
t_62595,スマートニュース,2023-10-21 08:43:47+00:00,しかも、本体のカメラ下部分が熱くなってるし,本体のカメラ下部分が熱くなってる,25
t_62734,スマートニュース,2023-11-17 01:22:03+00:00,スマートニュース、特定のキーワードのタイトルも持つ記事は表示させない機能ないのかな,特定のキーワードのタイトルも持つ記事は表示させない機能ないのかな,26
t_62857,スマートニュース,2023-12-18 07:43:23+00:00,スマートニュース、ソースメディアのブロックできるようにしてほしい,スマートニュース、ソースメディアのブロックできるようにしてほしい,28
t_62882,スマートニュース,2023-12-21 01:57:57+00:00,午前11時前、スマートニュースのアプリを介して運行情報を見たら、相鉄全線が“埼京・川越線内で発生した荷物挟まり”の影響で、遅延している,午前11時前、スマートニュースのアプリを介して運行情報を見たら、相鉄全線が“埼京・川越線内で発生した荷物挟まり”の影響で、遅延している,29
t_63710,スマートニュース,2023-12-20 23:49:09+00:00,スマートニュースで出てくる記事がクソみたいな芸能ゴシップとか、芸能人がテレビ番組でこう話したみたいななんの価値もない記事ばっかりで全然見てなかったけど、機種変してアプリの初期設定し直したとき間違えて男性にしたら車とか政治とかスポーツ選手の話題ばっかりになってちょっと新鮮,スマートニュースで出てくる記事がクソみたいな芸能ゴシップとか、芸能人がテレビ番組でこう話したみたいななんの価値もない記事ばっかりで全然見てなかったけど、機種変してアプリの初期設定し直したとき間違えて男性にしたら車とか政治とかスポーツ選手の話題ばっかりになってちょっと,30
t_64927,スマートニュース,2023-12-21 07:19:32+00:00,不具合だったか,不具合,31
t_65015,スマートニュース,2023-12-21 12:36:44+00:00,スマートニュースとかで通知来るくらい不具合だったみたいねw,スマートニュースとかで通知来るくらい不具合,33
