写真の表示秒数を調整する時に短くしたいのに急に60分やら90分になってしまう,46
gifが作れたら良いと思います,40
後音源とかも保存したい音源無しじゃ作れねぇ,43
アプリを起動して操作し始めた途端強制停止させられます,10
レイヤーを増やすとスムーズに動画が流れない,38
音ズレが目立つ,9
頻繁に使う記号なので不便しています,44
ちんちんですか可する前にポテチサラダする前にポテチサラダする前にしたている,109
編集したい動画が編集できない,64
編集中に途中で止まって,33
がくがくして編集が出来ない,37
capcutの悪いところバグる,120
そこを改善してくれれば,0
ちゃんとエスクポートしたのに保存されません,28
解消お願い致します,63
最後に必ず、capcutと出てきてしまう,18
改善,0
スタンプなどにお気に入り機能をつけて欲しい,21
重くて入れられない,7
バグった,16
劣化がない,52
アプリを開くと急に固まり対応しないとでます,10
音ズレを改善してください,108
早急に対応もしくは対処法がありましたら教えて下さい,19
改善しません,25
修正していただけると助かります,31
エクスポートしたものを再生すると動画と音がズレる,23
音源の長さと動画全体の長さが一致しない例えば音源が20秒なのに対して動画全体の長さが28秒になっている,32
[UNK]の記号だけ色等が変わらない,27
重たくなり作ってる最中に試しに再生しても確認できません,35
バグを修正して欲しい,17
バグが起こってリセットされたり、消えてしまったり、固まったりして使いにくい,5
デバイスの音楽が使えない,24
修正をお願いいたします,29
大きさが出ない,62
早く改善して下さい,0
編集したはずの動画が、編集する前のものに戻っていたり,20
重たくて音にしっかりあっているのか分からなくなる,13
重くなる,53
